probe_id,image,organ,question,reader_answer__yes_no_unsure,clinical_relevance__1to5,severity_tier_shown,severity_agree__yes_no,comment
liver_0_lesion6_kidney_right_g17.5,images/liver_0_lesion6_kidney_right_g17.5.png,Task03_Liver,"If this lesion grew by 17.5 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
liver_0_lesion8_kidney_right_g34.3,images/liver_0_lesion8_kidney_right_g34.3.png,Task03_Liver,"If this lesion grew by 34.3 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
liver_109_lesion3_inferior_vena_cava_g29.4,images/liver_109_lesion3_inferior_vena_cava_g29.4.png,Task03_Liver,"If this lesion grew by 29.4 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
liver_109_lesion7_portal_vein_and_splenic_vein_g11.3,images/liver_109_lesion7_portal_vein_and_splenic_vein_g11.3.png,Task03_Liver,"If this lesion grew by 11.3 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
liver_11_lesion4_lung_middle_lobe_right_g17.7,images/liver_11_lesion4_lung_middle_lobe_right_g17.7.png,Task03_Liver,"If this lesion grew by 17.7 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
liver_111_lesion3_kidney_right_g9.9,images/liver_111_lesion3_kidney_right_g9.9.png,Task03_Liver,"If this lesion grew by 9.9 mm in every direction, would it contact the kidney right? Answer yes or no.",,,L4,,
liver_112_lesion3_colon_g27.1,images/liver_112_lesion3_colon_g27.1.png,Task03_Liver,"If this lesion grew by 27.1 mm in every direction, would it contact the colon? Answer yes or no.",,,L3,,
liver_120_lesion5_sternum_g18.7,images/liver_120_lesion5_sternum_g18.7.png,Task03_Liver,"If this lesion grew by 18.7 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
liver_130_lesion1_sternum_g34.1,images/liver_130_lesion1_sternum_g34.1.png,Task03_Liver,"If this lesion grew by 34.1 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
liver_16_lesion9_vertebrae_T10_g32,images/liver_16_lesion9_vertebrae_T10_g32.png,Task03_Liver,"If this lesion grew by 32 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
liver_16_lesion3_vertebrae_T10_g34.6,images/liver_16_lesion3_vertebrae_T10_g34.6.png,Task03_Liver,"If this lesion grew by 34.6 mm in every direction, would it contact the vertebrae T10? Answer yes or no.",,,L1,,
liver_21_lesion2_portal_vein_and_splenic_vein_g5.3,images/liver_21_lesion2_portal_vein_and_splenic_vein_g5.3.png,Task03_Liver,"If this lesion grew by 5.3 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
liver_28_lesion4_pancreas_g21.3,images/liver_28_lesion4_pancreas_g21.3.png,Task03_Liver,"If this lesion grew by 21.3 mm in every direction, would it contact the pancreas? Answer yes or no.",,,L4,,
liver_30_lesion1_portal_vein_and_splenic_vein_g9.4,images/liver_30_lesion1_portal_vein_and_splenic_vein_g9.4.png,Task03_Liver,"If this lesion grew by 9.4 mm in every direction, would it contact the portal vein and splenic vein? Answer yes or no.",,,L5,,
liver_31_lesion1_stomach_g4.5,images/liver_31_lesion1_stomach_g4.5.png,Task03_Liver,"If this lesion grew by 4.5 mm in every direction, would it contact the stomach? Answer yes or no.",,,L3,,
liver_31_lesion3_adrenal_gland_right_g26.9,images/liver_31_lesion3_adrenal_gland_right_g26.9.png,Task03_Liver,"If this lesion grew by 26.9 mm in every direction, would it contact the adrenal gland right? Answer yes or no.",,,L4,,
liver_35_lesion4_duodenum_g4.7,images/liver_35_lesion4_duodenum_g4.7.png,Task03_Liver,"If this lesion grew by 4.7 mm in every direction, would it contact the duodenum? Answer yes or no.",,,L3,,
liver_4_lesion7_pancreas_g40.2,images/liver_4_lesion7_pancreas_g40.2.png,Task03_Liver,"If this lesion grew by 40.2 mm in every direction, would it contact the pancreas? Answer yes or no.",,,L4,,
liver_42_lesion1_stomach_g11.3,images/liver_42_lesion1_stomach_g11.3.png,Task03_Liver,"If this lesion grew by 11.3 mm in every direction, would it contact the stomach? Answer yes or no.",,,L3,,
liver_56_lesion1_sternum_g17,images/liver_56_lesion1_sternum_g17.png,Task03_Liver,"If this lesion grew by 17 mm in every direction, would it contact the sternum? Answer yes or no.",,,L1,,
liver_58_lesion3_lung_lower_lobe_right_g16.8,images/liver_58_lesion3_lung_lower_lobe_right_g16.8.png,Task03_Liver,"If this lesion grew by 16.8 mm in every direction, would it contact the lung lower lobe right? Answer yes or no.",,,L2,,
liver_64_lesion1_lung_middle_lobe_right_g39.8,images/liver_64_lesion1_lung_middle_lobe_right_g39.8.png,Task03_Liver,"If this lesion grew by 39.8 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
liver_66_lesion2_inferior_vena_cava_g26.5,images/liver_66_lesion2_inferior_vena_cava_g26.5.png,Task03_Liver,"If this lesion grew by 26.5 mm in every direction, would it contact the inferior vena cava? Answer yes or no.",,,L5,,
liver_70_lesion3_lung_middle_lobe_right_g20.5,images/liver_70_lesion3_lung_middle_lobe_right_g20.5.png,Task03_Liver,"If this lesion grew by 20.5 mm in every direction, would it contact the lung middle lobe right? Answer yes or no.",,,L2,,
liver_70_lesion1_colon_g24.5,images/liver_70_lesion1_colon_g24.5.png,Task03_Liver,"If this lesion grew by 24.5 mm in every direction, would it contact the colon? Answer yes or no.",,,L3,,
