model,input,acc,ci_lo,ci_hi,blind,image_gain,modal_share,modal_token
SmolVLM2-2.2B,montage,50.0,48.2,51.8,50.0,+0.0,99.9,no
Qwen2.5-VL-3B,montage,50.0,48.2,51.8,50.0,+0.0,99.5,no
Qwen2.5-VL-7B,montage,50.0,48.2,51.8,50.0,+0.0,100.0,no
InternVL3-8B,montage,50.1,48.0,52.2,50.0,+0.1,69.7,no
Qwen3-VL-8B,montage,48.7,46.6,50.7,50.0,-1.3,77.4,yes
InternVL3-14B,montage,50.1,48.4,51.9,49.5,+0.7,93.9,yes
Qwen2.5-VL-32B,montage,50.6,48.6,52.6,49.9,+0.7,50.8,no
LLaVA-OneVision-7B,montage,49.5,47.7,51.3,50.0,-0.5,98.9,yes
Idefics3-8B,montage,50.0,48.2,51.8,50.0,+0.0,100.0,no
Pixtral-12B,montage,51.0,48.8,53.3,50.0,+1.0,57.6,yes
M3D-LaMed-Phi3-4B,native,49.9,48.1,51.7,50.0,-0.1,80.3,no
M3D-LaMed-Llama2-7B,native,50.1,48.2,52.0,49.9,+0.1,80.1,yes
Med3DVLM-7B,native,50.0,48.2,51.8,50.0,+0.0,100.0,no
