probe_id,computed_answer,target,gap_mm,growth_mm,severity
liver_0_lesion6_kidney_right_g17.5,yes,kidney_right,15.0,17.5,L4
liver_0_lesion8_kidney_right_g34.3,yes,kidney_right,28.42,34.3,L4
liver_109_lesion3_inferior_vena_cava_g29.4,yes,inferior_vena_cava,26.87,29.4,L5
liver_109_lesion7_portal_vein_and_splenic_vein_g11.3,yes,portal_vein_and_splenic_vein,8.98,11.3,L5
liver_11_lesion4_lung_middle_lobe_right_g17.7,yes,lung_middle_lobe_right,15.18,17.7,L2
liver_111_lesion3_kidney_right_g9.9,no,kidney_right,12.89,9.9,L4
liver_112_lesion3_colon_g27.1,yes,colon,24.62,27.1,L3
liver_120_lesion5_sternum_g18.7,no,sternum,28.49,18.7,L1
liver_130_lesion1_sternum_g34.1,no,sternum,39.85,34.1,L1
liver_16_lesion9_vertebrae_T10_g32,yes,vertebrae_T10,27.28,32.0,L1
liver_16_lesion3_vertebrae_T10_g34.6,yes,vertebrae_T10,32.29,34.6,L1
liver_21_lesion2_portal_vein_and_splenic_vein_g5.3,no,portal_vein_and_splenic_vein,7.91,5.3,L5
liver_28_lesion4_pancreas_g21.3,no,pancreas,26.78,21.3,L4
liver_30_lesion1_portal_vein_and_splenic_vein_g9.4,yes,portal_vein_and_splenic_vein,3.61,9.4,L5
liver_31_lesion1_stomach_g4.5,no,stomach,7.07,4.5,L3
liver_31_lesion3_adrenal_gland_right_g26.9,no,adrenal_gland_right,37.01,26.9,L4
liver_35_lesion4_duodenum_g4.7,yes,duodenum,2.24,4.7,L3
liver_4_lesion7_pancreas_g40.2,yes,pancreas,37.73,40.2,L4
liver_42_lesion1_stomach_g11.3,no,stomach,17.55,11.3,L3
liver_56_lesion1_sternum_g17,yes,sternum,14.45,17.0,L1
liver_58_lesion3_lung_lower_lobe_right_g16.8,yes,lung_lower_lobe_right,13.81,16.8,L2
liver_64_lesion1_lung_middle_lobe_right_g39.8,yes,lung_middle_lobe_right,36.52,39.8,L2
liver_66_lesion2_inferior_vena_cava_g26.5,no,inferior_vena_cava,38.16,26.5,L5
liver_70_lesion3_lung_middle_lobe_right_g20.5,yes,lung_middle_lobe_right,16.46,20.5,L2
liver_70_lesion1_colon_g24.5,no,colon,35.54,24.5,L3
liver_72_lesion4_gallbladder_g34.6,yes,gallbladder,28.0,34.6,L3
liver_72_lesion3_inferior_vena_cava_g25.1,yes,inferior_vena_cava,21.86,25.1,L5
liver_79_lesion9_lung_middle_lobe_right_g12,no,lung_middle_lobe_right,16.38,12.0,L2
liver_79_lesion9_gallbladder_g8.2,yes,gallbladder,3.1,8.2,L3
liver_86_lesion1_portal_vein_and_splenic_vein_g20.8,no,portal_vein_and_splenic_vein,26.11,20.8,L5
liver_88_lesion1_adrenal_gland_right_g14.1,yes,adrenal_gland_right,8.33,14.1,L4
liver_9_lesion1_lung_middle_lobe_right_g24.7,no,lung_middle_lobe_right,35.69,24.7,L2
liver_93_lesion5_sternum_g41.9,yes,sternum,35.01,41.9,L1
liver_93_lesion5_vertebrae_T10_g29.7,no,vertebrae_T10,32.53,29.7,L1
liver_93_lesion1_lung_lower_lobe_left_g1,no,lung_lower_lobe_left,3.18,1.0,L2
lung_004_lesion1_sternum_g37.8,yes,sternum,31.99,37.8,L1
lung_009_lesion1_esophagus_g1,no,esophagus,2.76,1.0,L4
lung_010_lesion1_lung_upper_lobe_left_g38.7,yes,lung_upper_lobe_left,35.17,38.7,L2
lung_010_lesion2_vertebrae_T10_g27.6,yes,vertebrae_T10,25.1,27.6,L1
lung_010_lesion2_spinal_cord_g25.3,no,spinal_cord,37.32,25.3,L5
lung_014_lesion1_vertebrae_T8_g25.4,no,vertebrae_T8,32.35,25.4,L1
lung_020_lesion1_lung_middle_lobe_right_g12.2,yes,lung_middle_lobe_right,8.14,12.2,L2
lung_022_lesion1_liver_g4,no,liver,6.88,4.0,L3
lung_022_lesion1_vertebrae_T9_g24.7,no,vertebrae_T9,36.63,24.7,L1
lung_023_lesion1_lung_upper_lobe_right_g29.4,no,lung_upper_lobe_right,36.65,29.4,L2
lung_023_lesion1_lung_lower_lobe_right_g27.6,no,lung_lower_lobe_right,38.73,27.6,L2
lung_027_lesion1_liver_g30.1,no,liver,36.79,30.1,L3
lung_028_lesion1_vertebrae_T9_g7.6,no,vertebrae_T9,10.45,7.6,L1
lung_036_lesion1_esophagus_g37.3,yes,esophagus,34.03,37.3,L4
lung_036_lesion4_esophagus_g25.5,no,esophagus,37.83,25.5,L4
lung_037_lesion1_sternum_g42.9,yes,sternum,39.42,42.9,L1
lung_055_lesion1_heart_g17.3,yes,heart,13.98,17.3,L5
lung_065_lesion1_heart_g2.8,no,heart,5.71,2.8,L5
lung_069_lesion1_liver_g40.5,yes,liver,36.95,40.5,L3
lung_071_lesion1_lung_lower_lobe_right_g1,no,lung_lower_lobe_right,2.54,1.0,L2
lung_073_lesion1_trachea_g41,yes,trachea,37.51,41.0,L4
lung_074_lesion1_spinal_cord_g41.6,yes,spinal_cord,37.12,41.6,L5
lung_074_lesion1_trachea_g22.6,no,trachea,30.15,22.6,L4
lung_075_lesion1_aorta_g15.4,no,aorta,23.29,15.4,L5
lung_083_lesion1_liver_g18.9,no,liver,27.96,18.9,L3
lung_096_lesion1_liver_g44.4,yes,liver,38.6,44.4,L3
pancreas_015_lesion1_aorta_g4.5,no,aorta,7.38,4.5,L5
pancreas_021_lesion1_kidney_right_g29.6,yes,kidney_right,23.84,29.6,L4
