model_id,sigma,group,tier,n,correct,acc
Qwen--Qwen3.5-397B-A17B,0,all,L1,71,58,0.816901
Qwen--Qwen3.5-397B-A17B,0,all,L2,31,13,0.419355
Qwen--Qwen3.5-397B-A17B,0,all,L3,118,46,0.389831
Qwen--Qwen3.5-397B-A17B,0,all,L4,43,21,0.488372
Qwen--Qwen3.5-397B-A17B,0,all,L5,37,13,0.351351
Qwen--Qwen3.5-397B-A17B,0,all,all,300,151,0.503333
Qwen--Qwen3.5-397B-A17B,0,image_required,L1,67,56,0.835821
Qwen--Qwen3.5-397B-A17B,0,image_required,L2,31,13,0.419355
Qwen--Qwen3.5-397B-A17B,0,image_required,L3,118,46,0.389831
Qwen--Qwen3.5-397B-A17B,0,image_required,L4,43,21,0.488372
Qwen--Qwen3.5-397B-A17B,0,image_required,L5,37,13,0.351351
Qwen--Qwen3.5-397B-A17B,0,image_required,all,296,149,0.503378
Qwen--Qwen3.5-397B-A17B,0,text_answerable,L1,4,2,0.5
Qwen--Qwen3.5-397B-A17B,0,text_answerable,all,4,2,0.5
Qwen--Qwen3.5-397B-A17B,16,all,L1,71,33,0.464789
Qwen--Qwen3.5-397B-A17B,16,all,L2,31,6,0.193548
Qwen--Qwen3.5-397B-A17B,16,all,L3,118,7,0.059322
Qwen--Qwen3.5-397B-A17B,16,all,L4,43,3,0.069767
Qwen--Qwen3.5-397B-A17B,16,all,L5,37,4,0.108108
Qwen--Qwen3.5-397B-A17B,16,all,all,300,53,0.176667
Qwen--Qwen3.5-397B-A17B,16,image_required,L1,67,31,0.462687
Qwen--Qwen3.5-397B-A17B,16,image_required,L2,31,6,0.193548
Qwen--Qwen3.5-397B-A17B,16,image_required,L3,118,7,0.059322
Qwen--Qwen3.5-397B-A17B,16,image_required,L4,43,3,0.069767
Qwen--Qwen3.5-397B-A17B,16,image_required,L5,37,4,0.108108
Qwen--Qwen3.5-397B-A17B,16,image_required,all,296,51,0.172297
Qwen--Qwen3.5-397B-A17B,16,text_answerable,L1,4,2,0.5
Qwen--Qwen3.5-397B-A17B,16,text_answerable,all,4,2,0.5
Qwen--Qwen3.5-397B-A17B,2,all,L1,71,58,0.816901
Qwen--Qwen3.5-397B-A17B,2,all,L2,31,13,0.419355
Qwen--Qwen3.5-397B-A17B,2,all,L3,118,48,0.40678
Qwen--Qwen3.5-397B-A17B,2,all,L4,43,19,0.44186
Qwen--Qwen3.5-397B-A17B,2,all,L5,37,11,0.297297
Qwen--Qwen3.5-397B-A17B,2,all,all,300,149,0.496667
Qwen--Qwen3.5-397B-A17B,2,image_required,L1,67,56,0.835821
Qwen--Qwen3.5-397B-A17B,2,image_required,L2,31,13,0.419355
Qwen--Qwen3.5-397B-A17B,2,image_required,L3,118,48,0.40678
Qwen--Qwen3.5-397B-A17B,2,image_required,L4,43,19,0.44186
Qwen--Qwen3.5-397B-A17B,2,image_required,L5,37,11,0.297297
Qwen--Qwen3.5-397B-A17B,2,image_required,all,296,147,0.496622
Qwen--Qwen3.5-397B-A17B,2,text_answerable,L1,4,2,0.5
Qwen--Qwen3.5-397B-A17B,2,text_answerable,all,4,2,0.5
Qwen--Qwen3.5-397B-A17B,32,all,L1,71,19,0.267606
Qwen--Qwen3.5-397B-A17B,32,all,L2,31,2,0.064516
Qwen--Qwen3.5-397B-A17B,32,all,L3,118,3,0.025424
Qwen--Qwen3.5-397B-A17B,32,all,L4,43,1,0.023256
Qwen--Qwen3.5-397B-A17B,32,all,L5,37,0,0.0
