model,tag,arm,n,acc,lo,hi,modal,modal_share,agree_orig
Qwen2.5-VL-7B,qwen7b,pr,1368,50.0,48.2,51.7,no,100.0,100.0
Qwen2.5-VL-7B,qwen7b,neg,1368,50.0,48.3,51.8,no,100.0,0.0
Qwen2.5-VL-7B,qwen7b,sdr,1368,50.0,48.2,51.7,no,100.0,100.0
InternVL3-8B,internvl,pr,1368,49.2,47.3,51.2,no,55.0,64.8
InternVL3-8B,internvl,neg,1368,49.9,48.2,51.7,no,99.8,27.6
InternVL3-8B,internvl,sdr,1368,49.4,47.3,51.6,no,57.5,80.3
Qwen3-VL-8B,qwen3vl,pr,1368,47.8,46.0,49.7,no,65.9,54.4
Qwen3-VL-8B,qwen3vl,neg,1368,50.0,48.3,51.8,no,100.0,79.5
Qwen3-VL-8B,qwen3vl,sdr,1368,49.7,47.8,51.7,yes,52.8,73.0
Qwen2.5-VL-32B,qwen32b,pr,1368,51.4,49.4,53.4,no,84.6,62.2
Qwen2.5-VL-32B,qwen32b,neg,1368,49.5,47.7,51.3,no,99.2,52.3
Qwen2.5-VL-32B,qwen32b,sdr,1368,49.8,47.9,51.7,no,59.9,87.2
